24,132,56,10,8,6,10,6,8,6
310,8,12,30,6,16,6,6,6,10
20,224,118,16,24,6,6,8,6,6
56,14,40,54,14,6,6,6,8,8
102,42,8,6,6,6,6,8,6,10
62,12,170,6,6,10,8,10,8,6
28,104,6,8,16,10,6,10,6,6
212,32,66,32,38,12,8,6,12,12
52,18,6,36,18,6,6,8,6,6
36,20,50,6,10,8,6,8,10,8
18,8,122,8,20,6,8,6,6,10
36,26,8,10,14,6,6,6,14,6
276,136,44,6,42,8,8,10,6,8
26,20,10,6,40,6,18,6,6,8
34,50,26,6,10,6,6,8,6,6
188,8,18,20,28,6,6,6,8,6
438,20,78,8,6,6,6,8,6,6
8,108,6,24,10,6,8,6,6,6
124,10,6,26,24,6,8,8,6,12
240,32,58,6,32,8,10,6,6,8
92,8,24,34,28,8,6,8,6,6
76,42,6,14,6,6,8,8,6,10
304,146,148,12,12,8,6,6,8,6
40,196,16,10,12,8,6,6,8,8
730,88,48,36,6,10,6,8,6,10
188,22,6,16,6,6,6,6,6,10
74,100,10,46,12,12,8,6,6,12
108,8,30,10,8,6,6,6,6,6
30,50,12,6,8,6,6,8,6,8
8,24,38,18,8,6,14,6,10,6
222,10,10,26,12,6,12,6,10,6
14,22,10,8,10,12,6,6,6,8
40,72,6,16,16,8,8,8,6,8
96,12,44,42,6,6,8,6,8,8
12,12,56,24,16,8,6,10,8,12
44,86,188,8,8,8,8,6,6,10
120,48,148,26,16,6,8,10,6,6
110,92,70,58,16,6,6,8,12,8
6,38,56,12,6,8,6,8,8,12
12,36,20,20,8,6,6,8,12,6
206,16,22,14,6,22,8,14,6,8
276,50,18,32,26,8,8,8,6,10
126,10,18,6,26,6,6,8,10,6
130,78,150,8,6,6,6,6,14,6
14,6,28,6,12,6,6,6,6,8
180,6,18,8,16,8,34,8,10,6
14,42,34,24,20,10,30,6,8,6
16,8,8,22,6,10,6,10,8,12
28,6,8,10,6,8,8,8,6,6
40,358,14,6,20,8,8,8,6,16
556,10,54,6,18,6,6,8,6,6
226,14,8,16,6,6,6,6,8,8
10,16,72,22,18,6,6,6,6,8
8,122,10,10,20,10,6,12,6,6
180,6,8,18,10,6,6,6,12,6
262,22,14,8,8,8,8,6,6,8
92,10,10,12,6,18,10,8,6,6
10,50,36,12,10,6,8,6,6,12
10,96,6,6,14,6,12,8,8,10
176,96,46,8,8,8,8,8,10,6
74,112,6,66,14,6,8,6,8,14
180,96,126,14,8,10,8,6,6,6
18,120,96,6,18,6,8,6,10,6
16,40,38,48,22,6,8,6,6,10
14,150,12,90,6,6,6,8,10,8
14,90,12,40,6,6,6,8,6,10
8,28,30,14,6,8,6,6,6,6
52,64,14,20,10,6,8,8,6,6
292,60,16,10,16,12,10,6,8,12
504,34,24,24,6,10,6,8,6,6
40,8,22,6,6,6,10,6,6,6
240,82,24,6,6,10,6,6,8,8
8,10,14,6,14,6,8,6,6,6
92,32,14,28,6,6,8,6,6,8
14,28,32,6,22,10,6,6,10,8
32,18,122,6,18,6,8,6,8,6
200,30,28,8,18,12,6,6,6,6
30,8,20,12,6,8,8,8,6,6
120,14,6,6,8,6,6,8,10,8
52,302,32,36,10,6,6,10,8,6
150,10,16,10,12,12,6,6,6,8
242,16,204,12,14,6,6,6,12,8
284,12,8,84,6,6,6,6,6,16
360,54,20,24,6,6,8,6,8,8
10,10,6,6,6,6,10,8,6,8
82,10,22,8,22,6,6,12,8,6
10,116,12,8,30,6,6,12,8,6
42,86,16,12,18,6,6,6,8,6
8,46,6,10,6,10,6,6,8,10
92,16,36,12,32,8,10,8,8,14
136,18,10,36,18,6,6,8,12,12
362,36,10,6,20,8,10,6,16,14
28,8,42,14,26,10,8,6,6,8
30,6,16,18,8,8,6,14,6,6
350,14,120,28,14,6,8,8,10,6
12,34,16,34,10,20,6,6,6,10
12,18,24,14,32,6,8,8,8,6
22,180,18,60,6,6,8,8,8,8
172,40,42,20,8,10,6,6,8,6
36,8,6,8,6,6,10,8,6,6
