71.0,107.0,15.0,85.0,143.0,11.0,35.0,11.0
37.0,121.0,47.0,27.0,149.0,103.0,51.0,13.0
351.0,73.0,57.0,115.0,31.0,215.0,33.0,25.0
19.0,29.0,189.0,397.0,21.0,61.0,43.0,11.0
63.0,21.0,355.0,133.0,179.0,19.0,9.0,15.0
271.0,325.0,543.0,61.0,19.0,115.0,15.0,17.0
301.0,43.0,159.0,11.0,27.0,23.0,19.0,11.0
415.0,269.0,167.0,35.0,123.0,263.0,91.0,11.0
703.0,71.0,451.0,129.0,69.0,29.0,15.0,13.0
1000.0,39.0,61.0,59.0,115.0,115.0,17.0,25.0
33.0,245.0,73.0,281.0,123.0,15.0,27.0,9.0
237.0,1000.0,21.0,99.0,21.0,199.0,17.0,11.0
39.0,91.0,71.0,45.0,177.0,17.0,27.0,11.0
317.0,513.0,117.0,13.0,207.0,63.0,17.0,23.0
101.0,67.0,31.0,79.0,155.0,73.0,27.0,13.0
387.0,103.0,13.0,129.0,99.0,13.0,15.0,15.0
459.0,309.0,89.0,257.0,13.0,13.0,21.0,9.0
143.0,317.0,219.0,111.0,27.0,45.0,55.0,35.0
377.0,117.0,25.0,63.0,107.0,9.0,175.0,21.0
147.0,29.0,449.0,117.0,9.0,57.0,37.0,69.0
419.0,21.0,157.0,49.0,111.0,11.0,13.0,67.0
29.0,97.0,309.0,45.0,121.0,55.0,53.0,13.0
631.0,101.0,161.0,99.0,43.0,51.0,9.0,21.0
211.0,141.0,319.0,265.0,21.0,83.0,95.0,23.0
261.0,181.0,25.0,83.0,31.0,15.0,25.0,9.0
269.0,61.0,449.0,325.0,59.0,43.0,35.0,17.0
99.0,207.0,97.0,79.0,175.0,155.0,9.0,19.0
39.0,263.0,303.0,17.0,27.0,37.0,25.0,37.0
383.0,131.0,319.0,559.0,83.0,11.0,87.0,21.0
213.0,165.0,119.0,21.0,45.0,21.0,15.0,11.0
469.0,65.0,107.0,21.0,103.0,15.0,11.0,25.0
167.0,45.0,45.0,31.0,15.0,9.0,51.0,11.0
17.0,343.0,95.0,131.0,19.0,59.0,19.0,9.0
47.0,27.0,55.0,43.0,145.0,49.0,25.0,35.0
199.0,29.0,133.0,25.0,27.0,13.0,83.0,9.0
639.0,59.0,245.0,185.0,23.0,169.0,9.0,31.0
43.0,27.0,161.0,323.0,473.0,77.0,61.0,11.0
263.0,17.0,577.0,11.0,17.0,37.0,25.0,27.0
27.0,331.0,387.0,301.0,27.0,31.0,15.0,17.0
289.0,225.0,613.0,101.0,55.0,41.0,29.0,9.0
185.0,435.0,23.0,59.0,71.0,49.0,15.0,11.0
499.0,391.0,9.0,221.0,35.0,11.0,23.0,19.0
865.0,183.0,29.0,241.0,15.0,9.0,47.0,11.0
425.0,25.0,13.0,159.0,51.0,111.0,59.0,9.0
247.0,39.0,635.0,19.0,85.0,263.0,65.0,15.0
173.0,197.0,25.0,225.0,185.0,61.0,57.0,23.0
257.0,91.0,75.0,129.0,99.0,63.0,111.0,29.0
93.0,493.0,13.0,25.0,19.0,13.0,65.0,29.0
139.0,323.0,331.0,71.0,81.0,11.0,115.0,9.0
257.0,191.0,203.0,221.0,55.0,13.0,61.0,9.0
899.0,245.0,245.0,313.0,31.0,15.0,29.0,11.0
449.0,129.0,61.0,31.0,49.0,43.0,41.0,47.0
33.0,597.0,45.0,299.0,59.0,21.0,131.0,11.0
111.0,121.0,35.0,23.0,9.0,121.0,9.0,47.0
45.0,33.0,37.0,97.0,123.0,89.0,37.0,9.0
171.0,709.0,83.0,51.0,67.0,57.0,37.0,11.0
279.0,109.0,29.0,89.0,125.0,11.0,31.0,11.0
