15.0,113.0,37.0,83.0,39.0,123.0,95.0,13.0
311.0,295.0,63.0,11.0,147.0,119.0,17.0,25.0
431.0,61.0,121.0,61.0,13.0,15.0,13.0,37.0
139.0,257.0,193.0,67.0,97.0,249.0,71.0,15.0
83.0,327.0,15.0,261.0,15.0,77.0,73.0,13.0
817.0,27.0,255.0,51.0,39.0,217.0,11.0,201.0
47.0,437.0,325.0,61.0,103.0,47.0,15.0,9.0
495.0,43.0,61.0,25.0,27.0,91.0,29.0,9.0
43.0,101.0,139.0,201.0,29.0,45.0,61.0,11.0
499.0,185.0,43.0,497.0,69.0,95.0,11.0,13.0
715.0,271.0,189.0,235.0,23.0,11.0,17.0,55.0
203.0,77.0,65.0,13.0,223.0,13.0,129.0,79.0
149.0,365.0,41.0,101.0,135.0,291.0,143.0,9.0
431.0,179.0,57.0,33.0,123.0,21.0,53.0,65.0
179.0,27.0,365.0,315.0,75.0,65.0,17.0,13.0
27.0,15.0,119.0,15.0,97.0,49.0,119.0,25.0
125.0,67.0,97.0,21.0,103.0,37.0,9.0,29.0
115.0,23.0,39.0,51.0,15.0,13.0,31.0,25.0
149.0,135.0,83.0,105.0,71.0,13.0,15.0,25.0
381.0,573.0,15.0,129.0,333.0,15.0,25.0,9.0
267.0,299.0,47.0,113.0,115.0,31.0,77.0,9.0
35.0,501.0,73.0,263.0,15.0,139.0,139.0,9.0
25.0,21.0,289.0,35.0,127.0,33.0,99.0,57.0
67.0,371.0,35.0,39.0,81.0,15.0,95.0,69.0
753.0,47.0,111.0,21.0,33.0,21.0,11.0,19.0
289.0,59.0,17.0,17.0,143.0,55.0,89.0,19.0
61.0,231.0,109.0,43.0,41.0,13.0,101.0,25.0
161.0,65.0,267.0,9.0,33.0,11.0,49.0,9.0
39.0,319.0,209.0,15.0,41.0,11.0,11.0,57.0
13.0,209.0,63.0,351.0,191.0,31.0,15.0,21.0
555.0,695.0,573.0,21.0,61.0,149.0,13.0,19.0
19.0,265.0,677.0,427.0,161.0,101.0,27.0,31.0
513.0,309.0,65.0,15.0,21.0,87.0,13.0,9.0
85.0,99.0,87.0,101.0,15.0,17.0,61.0,11.0
81.0,163.0,17.0,67.0,23.0,107.0,57.0,27.0
9.0,195.0,97.0,111.0,179.0,73.0,47.0,13.0
685.0,123.0,51.0,33.0,101.0,213.0,15.0,9.0
133.0,145.0,25.0,37.0,11.0,21.0,21.0,65.0
247.0,33.0,77.0,57.0,161.0,27.0,67.0,15.0
225.0,421.0,219.0,377.0,11.0,49.0,119.0,19.0
101.0,23.0,15.0,233.0,209.0,39.0,39.0,83.0
133.0,303.0,361.0,169.0,393.0,191.0,15.0,11.0
31.0,267.0,29.0,57.0,67.0,13.0,35.0,9.0
77.0,13.0,111.0,83.0,9.0,19.0,9.0,55.0
451.0,55.0,451.0,19.0,41.0,391.0,11.0,11.0
79.0,363.0,171.0,25.0,43.0,27.0,21.0,67.0
361.0,307.0,139.0,23.0,13.0,29.0,151.0,19.0
