234,12,10,14,10,6,10,6,8,8
48,306,42,56,14,6,6,6,8,6
54,42,24,6,16,6,6,6,8,6
72,58,12,8,6,6,12,18,8,6
14,24,24,46,6,6,8,6,14,6
148,14,8,10,8,6,10,6,6,6
8,18,10,6,6,8,8,6,10,12
20,234,32,6,8,6,6,8,12,8
10,8,10,10,16,6,6,22,8,16
18,8,18,6,82,6,8,6,6,8
42,10,16,20,6,30,8,6,8,10
14,10,6,8,8,10,8,6,10,6
660,40,16,76,26,6,6,6,6,6
26,6,10,26,12,6,8,6,8,18
14,50,52,10,6,8,6,6,6,8
14,110,20,32,6,6,6,6,6,12
254,124,10,76,36,34,6,8,10,14
326,58,6,110,6,12,6,6,12,8
12,26,12,36,6,6,10,6,8,10
604,10,42,18,8,46,8,6,6,8
78,18,56,42,8,8,6,10,10,12
28,10,22,56,10,8,6,6,8,8
324,6,6,44,34,8,6,6,8,12
88,24,28,8,8,8,6,6,8,12
26,50,136,6,8,8,6,6,8,20
6,20,8,36,8,6,8,10,6,6
58,144,10,6,6,8,6,8,8,6
8,10,10,14,36,6,12,6,10,12
108,40,8,10,32,6,8,8,8,14
8,96,10,26,12,8,14,8,10,10
138,198,64,6,64,6,6,12,6,10
72,64,28,20,6,6,6,6,6,12
142,14,12,10,28,6,6,6,8,8
28,14,16,120,8,6,6,6,8,6
168,38,8,12,18,10,8,12,6,6
184,162,8,14,24,8,12,8,10,6
46,8,10,90,26,6,6,8,6,16
18,16,66,6,6,8,6,6,10,8
48,38,6,6,6,8,10,6,6,6
304,26,8,34,46,6,8,10,8,10
8,6,18,6,6,12,12,6,6,8
16,60,56,6,6,6,6,8,6,10
116,38,162,44,6,6,8,8,10,36
120,76,28,8,10,10,8,8,10,8
14,8,6,8,6,14,6,6,6,6
258,16,42,6,18,6,6,10,8,10
46,20,12,8,14,6,8,8,12,14
36,14,6,30,8,8,6,6,10,6
124,36,6,18,42,6,8,6,10,6
6,14,24,10,6,12,8,10,10,8
84,6,26,56,6,6,8,8,6,20
76,120,12,10,6,6,6,6,8,12
244,60,12,18,20,6,6,8,8,8
62,94,18,40,8,6,14,12,10,10
280,52,116,56,10,6,6,6,14,6
16,28,38,30,8,8,8,8,8,10
30,38,10,8,18,10,6,8,8,16
214,18,50,8,28,6,6,6,8,10
16,32,10,50,8,6,10,8,6,14
8,12,42,6,52,6,8,6,10,12
420,92,60,12,8,6,6,6,8,14
16,38,44,8,6,8,12,8,6,8
142,14,14,26,12,10,8,6,6,6
12,30,8,8,6,24,6,8,6,6
26,18,12,6,8,12,6,6,10,6
94,8,54,16,10,6,6,8,10,10
34,32,6,18,6,6,6,6,10,16
196,30,54,8,6,10,8,8,10,12
136,20,42,8,6,6,8,6,10,8
162,32,20,16,14,6,8,6,6,10
12,8,16,8,24,6,8,8,10,8
54,146,12,80,6,6,6,8,8,6
18,36,10,10,18,6,6,8,6,18
138,124,40,134,32,6,6,6,8,10
14,40,12,84,8,6,6,8,6,12
8,18,8,24,6,8,8,10,6,6
24,6,50,8,6,8,6,10,6,12
22,6,22,28,6,8,8,10,6,8
308,20,8,10,24,6,6,6,12,10
50,8,8,8,6,6,6,6,6,10
52,10,18,18,6,6,8,10,6,12
62,174,58,6,10,6,6,10,8,8
30,28,6,20,12,6,6,14,8,14
14,32,10,144,10,8,8,8,12,22
86,10,8,12,6,20,6,6,10,6
30,14,8,6,24,6,6,6,6,6
36,42,60,6,28,8,6,6,16,18
18,34,16,46,8,6,14,8,12,8
12,12,46,12,6,8,6,6,10,8
22,54,8,6,10,8,6,10,12,10
34,70,6,6,8,26,10,6,6,12
374,8,12,36,12,6,6,6,6,8
20,52,16,20,6,6,14,10,8,6
14,20,12,6,6,6,6,8,8,6
158,80,46,46,8,8,6,8,8,8
454,62,26,6,14,6,10,6,6,18
188,10,10,6,6,8,8,8,12,6
24,30,28,8,8,6,10,6,6,12
28,48,74,36,40,12,6,6,8,8
16,74,14,16,12,6,6,6,6,12
