204,16,40,12,6,10,6,8,6,6
10,34,6,8,8,8,6,6,6,10
36,8,10,12,8,6,10,8,6,6
16,26,70,20,30,10,6,8,8,6
10,6,32,8,6,6,6,8,6,6
24,20,14,66,6,8,6,6,6,8
12,68,10,8,20,6,6,8,6,6
8,32,64,22,8,6,6,6,10,6
30,100,16,52,8,14,8,12,14,8
70,162,14,36,6,10,8,6,12,6
194,30,80,20,6,12,6,8,8,8
258,138,18,10,8,6,8,6,6,6
144,26,98,18,6,6,6,6,6,6
278,30,32,10,8,8,6,6,6,6
6,8,32,8,20,6,6,6,6,10
82,100,36,32,24,8,6,14,6,6
632,70,8,14,10,8,6,12,8,8
8,8,118,8,12,8,6,8,8,6
16,114,6,8,6,12,6,6,6,8
132,36,72,6,10,6,6,6,6,6
30,88,16,16,50,8,6,6,6,6
92,124,20,6,6,6,6,6,8,8
8,6,24,46,12,6,8,6,6,8
102,36,8,36,14,6,6,6,10,6
118,70,20,8,8,8,6,8,10,6
52,6,16,6,6,6,8,6,6,8
64,16,10,8,12,8,6,8,6,8
24,30,6,6,6,8,6,8,6,6
28,30,46,36,8,8,6,12,6,8
34,26,56,24,8,6,10,8,6,6
26,8,28,8,6,8,6,6,8,6
30,16,166,48,6,6,6,8,6,16
10,22,66,40,20,6,6,8,12,6
58,78,112,16,10,8,6,6,6,6
828,34,8,18,10,10,6,8,6,6
216,168,24,26,16,6,10,6,12,6
14,26,60,8,6,6,10,8,6,6
6,20,16,30,10,6,6,6,6,10
38,8,18,8,10,8,6,6,10,8
22,42,8,14,6,6,8,10,6,8
84,34,8,6,14,6,6,10,6,6
14,16,6,6,8,12,6,10,8,10
150,30,18,34,6,8,8,8,8,6
18,22,30,14,6,8,6,6,6,6
22,26,60,6,6,6,8,6,8,8
190,164,46,6,10,6,8,6,6,10
108,28,6,6,6,8,10,6,6,6
204,18,30,6,6,6,6,6,6,6
10,28,14,8,46,6,8,8,6,6
28,36,106,8,6,6,6,8,8,18
6,6,14,40,10,6,6,8,10,6
30,8,6,30,6,8,6,6,6,8
372,24,6,16,8,8,8,10,10,6
28,6,34,12,6,10,6,6,10,8
10,58,6,10,16,6,6,10,8,6
22,40,30,26,6,6,6,14,6,6
238,68,72,14,6,6,6,10,12,6
30,48,16,6,12,6,8,6,10,6
124,74,6,52,10,6,6,6,6,6
8,168,50,14,8,14,6,8,6,6
14,62,10,164,22,12,6,6,8,6
26,6,22,8,6,6,6,6,6,10
36,40,176,30,6,8,6,6,10,6
392,72,20,8,6,6,6,6,8,8
104,50,22,6,12,6,6,8,12,6
158,58,6,24,6,10,6,6,6,8
50,6,10,6,6,12,6,8,6,6
654,6,8,6,16,10,6,6,6,10
160,78,22,36,24,8,6,8,6,10
76,10,28,6,10,6,6,6,6,22
46,14,8,8,6,10,8,6,8,6
148,12,14,36,6,12,6,8,10,6
10,158,8,6,8,6,6,6,6,6
8,16,46,12,6,8,6,6,6,12
6,10,8,6,12,6,8,6,6,8
52,6,34,8,6,8,6,6,10,8
292,58,6,24,6,6,6,6,10,6
12,114,14,16,8,6,6,10,8,6
12,20,86,30,6,6,10,8,6,6
198,100,30,18,18,6,6,12,6,10
156,118,218,18,6,6,6,6,8,6
16,54,28,16,8,6,6,12,6,8
6,198,50,22,6,6,8,8,10,6
56,10,24,6,6,6,6,10,6,6
24,24,20,8,16,6,6,6,8,6
666,12,16,46,6,8,8,6,6,8
72,10,38,36,22,6,6,6,6,8
232,138,22,6,10,10,8,8,8,10
6,88,22,16,6,6,6,8,8,6
36,24,8,12,10,6,8,8,6,12
6,62,82,6,8,6,6,10,6,6
10,78,10,6,6,6,6,10,6,6
32,8,158,6,6,6,8,10,14,8
10,14,6,62,16,10,6,6,6,10
26,30,20,16,6,8,6,6,10,6
34,36,10,6,6,6,6,6,8,8
326,8,16,8,18,10,6,10,6,8
26,12,52,6,12,8,6,12,6,6
16,74,28,10,6,8,6,10,8,6
10,38,98,6,8,6,6,10,6,6
