263,21,147,149,89,89,9,13,9,17,9,9,13
25,131,19,49,31,15,25,13,27,11,23,15,13
75,79,583,13,37,17,41,19,27,57,13,11,23
33,293,15,265,117,9,89,37,25,19,9,9,13
169,323,215,79,113,13,9,11,13,39,9,9,11
179,175,29,45,129,69,15,31,35,29,9,9,13
23,155,259,27,107,85,27,31,21,13,9,9,15
317,121,205,83,17,137,75,15,9,9,9,9,9
183,175,177,201,23,9,101,89,9,11,13,15,9
215,383,81,243,45,15,19,35,25,9,17,11,11
765,529,31,69,11,39,9,13,9,9,9,9,17
139,69,43,73,11,63,125,13,17,15,11,11,9
403,71,21,223,31,51,115,9,23,9,17,9,17
409,339,169,101,63,27,9,29,21,9,13,9,9
157,83,39,47,49,45,11,15,21,15,11,9,13
401,181,259,55,41,79,13,13,21,11,13,11,11
181,117,165,21,67,9,27,43,13,9,15,9,9
179,323,149,373,161,29,125,19,17,31,9,13,9
143,23,17,81,21,15,31,9,9,9,9,11,11
19,27,211,51,217,55,23,11,27,11,9,9,9
1000,267,297,101,11,23,85,15,17,11,15,17,15
91,611,17,15,53,75,21,15,11,31,9,9,9
65,135,15,19,49,37,27,65,11,15,17,11,13
15,341,35,15,31,99,19,43,27,11,25,9,9
141,21,109,29,15,17,11,23,9,19,13,11,9
161,249,29,261,271,45,35,35,21,31,17,9,9
31,581,283,37,15,29,23,29,19,9,9,13,9
147,25,27,47,19,33,99,17,23,13,19,27,9
1000,187,33,27,159,191,37,13,31,9,11,9,13
59,363,167,151,65,197,17,95,21,15,9,11,11
247,71,37,9,147,73,11,13,9,13,11,9,9
941,19,17,359,203,49,119,23,13,27,29,11,13
65,11,49,109,33,19,63,41,21,13,11,13,11
63,443,113,49,75,43,37,11,23,9,9,9,9
431,53,121,21,9,49,23,21,9,23,11,9,13
119,233,369,69,155,21,17,39,17,31,11,11,9
43,305,179,441,19,139,41,13,9,21,9,9,13
421,27,49,105,47,69,9,11,9,11,11,9,9
41,121,29,113,29,51,25,9,53,35,9,11,15
113,135,205,111,35,13,29,27,11,29,9,9,9
827,217,353,113,37,13,9,9,15,15,9,19,13
233,1000,27,23,169,9,13,11,15,19,9,9,9
275,251,105,19,53,11,61,39,11,9,11,9,11
59,173,79,95,11,25,17,11,13,15,11,13,9
77,245,297,53,469,9,9,43,39,9,15,11,15
11,121,397,15,73,21,89,29,33,17,13,19,17
161,189,63,43,151,9,15,11,11,9,19,11,11
361,1000,15,39,41,25,19,13,9,25,9,15,13
99,165,93,71,19,27,11,53,37,13,19,11,17
13,187,241,183,13,23,15,75,11,27,11,15,9
157,553,25,117,201,133,17,17,13,9,9,9,9
291,667,189,61,91,43,99,89,11,17,13,9,11
339,37,27,355,25,13,13,35,15,23,9,13,9
51,395,15,49,23,189,25,17,15,13,11,9,9
25,67,51,171,127,35,9,9,13,17,9,9,11
117,59,55,145,81,43,13,77,27,27,21,25,9
33,51,25,161,29,39,31,9,11,13,15,11,9
845,95,175,359,49,47,33,31,15,11,13,15,11
719,685,135,9,53,47,59,23,23,15,27,9,13
297,33,253,311,41,67,13,13,15,13,13,9,11
423,21,25,63,73,25,41,29,11,9,9,11,13
337,51,41,51,67,25,15,19,81,11,9,9,13
233,71,9,21,147,35,19,23,11,11,11,9,15
557,383,45,19,81,15,47,13,11,21,13,9,13
171,63,23,57,171,63,131,11,11,13,21,11,15
173,221,315,31,21,61,47,25,25,21,11,13,9
69,11,33,317,41,31,11,15,59,11,15,13,9
83,11,157,139,37,51,11,23,29,9,9,11,9
29,185,87,191,9,9,9,9,9,23,19,9,17
43,133,23,291,41,35,43,11,9,21,13,13,13
123,21,131,139,17,101,51,45,65,23,15,13,17
573,69,13,15,35,35,15,33,55,13,9,11,9
125,45,1000,27,51,13,31,13,13,15,21,11,11
323,189,47,115,9,27,9,39,9,31,9,9,13
329,13,313,61,97,9,125,11,33,13,15,9,9
173,73,207,189,15,41,23,31,17,17,13,11,11
207,161,45,163,33,41,45,9,13,9,9,11,11
155,87,55,19,25,33,43,21,23,29,11,13,13
67,101,19,31,231,39,45,27,39,11,11,11,9
35,33,271,101,345,21,13,47,15,19,11,9,11
89,211,519,11,63,15,15,77,9,27,11,11,9
511,403,523,85,121,39,9,21,15,33,11,11,13
21,239,65,233,17,101,31,9,53,23,13,11,11
299,545,111,111,81,99,97,37,11,9,9,15,13
37,91,33,25,55,213,37,25,13,33,13,11,9
583,79,85,17,313,83,65,21,11,11,11,19,9
25,231,325,41,397,65,37,33,13,13,9,11,9
139,29,79,83,17,9,17,13,17,11,29,9,9
251,609,561,51,149,61,29,13,9,15,9,9,9
27,33,19,17,37,73,11,47,11,9,15,9,9
27,31,15,59,21,13,23,21,9,11,19,19,17
79,107,189,85,15,17,9,37,19,41,15,11,13
195,15,53,33,15,15,25,9,9,19,13,15,13
943,75,145,283,75,9,11,49,9,9,9,9,9
249,123,21,41,191,11,29,11,13,15,11,13,9
109,31,69,29,277,9,9,31,9,15,9,11,9
307,37,463,69,117,61,95,11,11,11,13,11,13
159,43,171,89,95,201,115,11,9,11,25,9,9
73,49,219,35,419,9,21,11,23,13,11,11,9
35,127,89,9,9,17,15,11,21,29,11,19,11
