207,155,195,167,31,17,49,11,13,9,9,11,9
27,29,29,71,75,37,11,77,9,15,19,11,15
125,231,137,261,25,19,19,47,9,13,15,9,11
71,371,85,39,405,13,25,83,17,15,13,9,9
19,191,53,135,51,21,27,15,21,9,9,11,9
87,51,115,137,21,35,37,9,29,15,13,19,11
321,265,47,401,13,83,41,33,21,9,9,11,11
37,25,335,157,107,85,25,15,33,11,29,9,25
535,217,57,239,79,151,71,9,27,9,9,9,13
253,195,169,15,51,31,43,31,11,15,9,17,17
381,129,79,13,19,81,45,41,9,21,13,11,9
91,31,39,219,19,207,17,33,9,13,13,9,11
295,195,71,67,19,63,61,39,11,21,9,21,11
301,33,679,21,93,123,65,13,15,17,9,9,9
115,69,19,43,11,147,77,57,9,47,15,11,11
1000,251,311,15,9,53,17,41,9,31,9,9,11
51,51,39,89,27,19,39,35,37,11,9,9,11
157,77,211,51,97,15,17,27,9,9,9,9,17
71,167,93,15,49,71,9,29,13,17,23,11,11
63,427,49,289,199,55,19,55,9,9,15,17,9
627,747,203,25,167,23,39,17,13,13,9,13,13
485,99,69,259,59,27,9,13,11,9,21,15,9
157,187,91,103,33,13,17,21,9,13,9,9,9
113,39,147,79,17,53,13,13,9,25,13,9,13
285,385,259,19,71,171,9,15,45,9,27,9,17
681,149,179,61,143,19,13,51,29,15,11,11,11
659,189,59,61,9,13,141,13,11,9,27,15,11
387,597,449,55,65,11,23,31,9,29,9,11,13
697,21,63,355,77,21,95,25,11,19,9,11,9
445,335,27,17,23,15,37,49,37,13,9,23,13
15,81,37,159,15,83,67,27,25,9,21,19,27
689,209,77,11,113,149,81,33,9,9,11,11,11
1000,605,27,23,63,59,53,15,31,9,11,13,9
209,93,55,117,113,27,23,15,9,11,9,9,9
97,121,95,97,107,23,13,35,17,13,13,9,15
29,475,21,69,309,79,11,23,9,11,11,11,9
65,435,209,221,13,29,37,15,11,19,11,15,9
173,127,15,317,15,9,11,37,33,9,13,15,15
557,241,41,17,151,9,91,9,25,9,9,9,9
65,35,67,443,35,83,73,29,13,31,39,9,9
389,241,45,17,15,13,11,51,25,11,11,13,11
397,243,33,183,97,9,67,15,19,23,11,9,9
33,267,111,63,37,11,27,25,9,13,15,9,9
69,165,35,153,11,21,9,11,19,11,11,11,9
113,47,215,381,25,19,53,9,21,17,11,13,11
351,283,21,45,299,47,13,19,9,43,9,9,11
57,389,19,53,13,61,45,21,15,17,9,9,9
35,57,33,51,75,29,19,39,15,11,17,21,11
11,25,93,139,13,15,13,11,29,11,9,17,13
63,21,61,59,41,15,23,29,11,17,21,13,9
47,25,41,71,21,65,39,15,11,45,11,19,11
151,41,219,105,9,37,113,83,35,15,21,13,9
445,193,17,81,21,21,9,21,9,11,9,15,9
933,331,61,399,189,51,9,33,31,43,9,11,9
187,899,41,173,83,9,9,27,19,19,11,19,9
53,15,23,371,205,83,15,11,11,11,11,29,11
17,19,211,23,163,149,29,13,13,23,9,19,9
15,153,17,55,27,9,95,11,11,17,27,9,11
689,41,217,93,183,79,137,71,9,25,11,17,9
149,183,39,443,25,23,33,35,21,11,11,17,15
151,41,285,155,13,11,89,9,9,13,9,13,9
25,241,199,35,19,117,23,11,31,11,11,11,9
309,55,401,13,19,33,29,75,9,9,15,9,11
315,879,109,79,155,9,23,11,11,11,11,9,9
921,29,43,271,151,45,17,57,43,9,9,11,21
15,55,281,373,15,19,83,75,75,9,9,9,17
43,441,9,59,289,31,85,45,57,9,9,13,15
49,11,131,169,65,47,11,45,9,21,9,9,9
57,35,227,23,129,13,39,9,33,13,11,13,9
401,331,53,431,31,87,11,11,13,13,17,9,9
441,175,89,11,15,17,81,19,37,15,17,9,9
397,375,179,73,33,17,87,21,47,25,21,9,9
253,295,123,35,89,41,13,69,19,9,9,21,11
99,157,53,13,55,85,59,25,17,13,21,19,11
57,61,129,119,23,217,63,27,11,11,9,11,9
125,23,261,49,17,9,11,25,23,13,13,13,13
93,537,299,369,11,13,19,25,23,19,9,13,11
131,13,45,101,15,13,11,11,9,9,11,9,11
771,331,45,101,47,33,47,19,15,13,23,9,9
809,99,73,17,141,11,53,9,11,15,17,9,9
279,29,145,15,71,21,19,11,23,9,43,13,13
187,17,203,69,179,9,37,9,11,9,11,21,9
455,217,171,29,21,13,25,63,13,15,15,9,9
37,35,265,71,35,11,31,21,9,9,9,9,13
377,61,581,13,203,25,11,19,57,35,9,11,13
69,221,159,19,17,49,67,25,13,15,19,13,11
55,135,193,35,15,11,57,35,15,19,9,11,9
37,103,149,87,111,183,41,17,13,9,9,13,11
129,753,41,71,91,23,37,13,11,17,25,9,11
55,27,31,357,47,19,15,23,19,13,17,9,13
83,527,33,707,81,77,13,19,15,9,11,9,9
87,449,197,29,17,29,17,15,15,23,13,9,17
41,47,13,67,45,105,29,9,9,19,55,13,11
15,95,131,31,599,23,27,17,51,25,13,13,9
103,23,121,193,15,37,27,19,29,9,19,9,11
665,223,157,91,21,13,23,23,13,25,19,9,9
157,141,21,413,111,71,103,15,35,9,11,9,9
209,27,51,107,459,163,43,9,21,47,13,11,17
135,457,29,51,93,37,11,17,11,23,11,9,9
897,127,159,115,9,57,29,13,9,11,13,11,9
