283,425,177,35,49,71,15,19,13,13,9,9,9,11,11,9,9,11,9,9,11,11,9,9,15,9,9,11,13,11,9,9,9,35,11,15,9,11,11,9,9,11,11,11,11,17,13,13,13,9
173,107,33,29,53,67,11,13,11,9,9,9,11,9,9,9,13,9,9,11,11,15,13,11,11,17,11,13,11,9,11,9,11,11,15,9,15,11,11,9,11,11,13,9,13,9,13,13,15,11
109,63,313,349,173,103,13,25,23,11,9,9,9,9,9,9,9,9,15,9,9,9,11,13,9,15,9,11,13,11,11,9,15,11,9,9,11,13,11,9,11,15,21,11,11,13,17,13,9,19
963,45,37,69,35,49,23,47,11,9,13,9,9,9,9,9,11,9,11,11,9,9,11,9,11,13,11,9,9,9,11,13,13,9,13,21,9,11,15,9,15,11,15,9,11,9,9,9,11,13
363,45,27,33,11,11,13,9,15,9,9,9,9,9,9,9,11,13,11,11,13,9,9,9,11,13,9,9,11,15,11,15,15,19,11,9,9,9,11,11,9,27,13,11,9,13,9,9,15,13
91,463,67,87,53,67,35,15,9,9,9,9,9,11,9,9,11,9,11,9,9,9,15,11,11,9,11,13,9,13,13,11,11,9,9,11,11,15,21,9,11,11,11,9,9,9,13,9,9,13
207,87,39,91,31,51,37,39,9,9,11,9,9,9,9,11,11,9,9,9,11,9,9,9,15,15,11,15,9,9,9,11,17,11,9,11,9,9,11,9,9,9,11,11,9,11,13,11,11,13
149,437,749,153,29,103,9,23,11,9,9,9,9,9,9,9,9,9,9,11,9,11,9,11,13,11,11,9,11,9,13,11,11,9,11,9,13,11,9,11,9,15,11,15,11,13,15,9,21,9
103,81,99,207,95,33,43,39,9,9,9,9,11,9,9,9,9,11,9,11,11,9,15,9,9,13,11,9,9,15,9,13,13,31,11,9,9,9,9,11,13,9,11,11,13,11,13,13,17,13
93,263,73,45,81,13,67,29,15,9,9,9,9,9,11,9,9,9,9,9,11,13,11,11,9,11,11,9,9,15,9,15,9,9,11,17,17,9,11,13,11,13,9,13,13,11,19,13,9,11
421,105,57,197,35,9,17,49,17,9,9,9,9,9,9,9,9,9,11,9,9,9,9,11,11,11,9,11,11,9,9,9,9,13,9,19,11,11,13,11,11,15,11,17,11,15,37,9,11,9
479,253,409,77,29,15,9,49,15,15,9,9,9,11,9,9,13,9,9,11,9,11,11,9,9,9,11,13,13,9,9,13,9,9,11,9,9,9,13,9,11,11,15,13,11,11,13,9,13,15
799,99,255,59,97,57,19,17,21,9,11,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,9,17,9,13,9,11,9,9,9,9,9,11,9,11,11,11,11,17,15,19,17
35,35,175,69,411,9,23,9,11,9,9,9,9,11,9,11,11,9,9,11,9,9,13,9,11,11,9,9,9,9,9,15,9,11,9,11,13,9,13,11,11,17,15,21,13,11,17,13,9,11
75,39,39,187,65,11,17,13,23,9,13,9,9,9,9,9,9,11,9,9,9,9,9,9,11,15,9,9,11,9,11,11,19,11,9,11,13,13,11,11,13,13,13,9,13,15,13,13,9,11
75,431,501,15,97,9,9,13,9,9,13,9,9,9,9,9,9,9,9,11,9,9,13,9,9,11,13,11,9,11,9,11,11,17,13,11,23,9,13,11,9,21,13,9,9,9,11,13,11,11
297,169,37,241,37,25,23,63,11,13,9,11,9,11,11,9,11,9,9,11,13,11,9,11,9,11,19,11,9,9,11,9,11,9,11,15,9,13,11,9,9,13,13,11,9,11,11,19,11,11
377,175,235,115,229,39,13,29,11,9,9,9,9,11,11,9,11,11,13,13,9,11,11,9,9,9,11,9,11,9,17,9,9,13,13,15,15,9,9,11,9,21,9,9,11,11,13,9,13,9
525,1000,1000,417,9,81,13,15,13,9,9,13,9,9,11,9,11,9,11,9,9,11,9,11,11,9,9,9,9,9,9,11,9,11,9,15,11,11,9,19,21,9,13,9,11,13,17,9,11,11
43,141,89,33,79,23,51,11,9,11,11,9,9,9,9,9,9,9,11,13,9,13,11,11,9,9,11,13,9,11,9,9,11,9,9,11,9,13,11,19,17,13,9,9,9,9,11,15,11,9
85,35,55,17,15,55,39,39,9,15,19,9,9,9,9,9,9,11,9,9,13,9,11,9,9,9,9,11,11,17,11,11,11,9,13,19,11,9,13,15,13,9,9,13,9,9,11,13,9,9
179,559,93,15,89,15,11,37,11,9,9,9,9,9,9,11,9,13,9,11,9,9,11,11,11,11,11,17,9,11,13,9,9,11,9,11,13,11,9,13,9,19,23,11,11,9,13,11,11,17
961,101,11,21,45,9,15,17,19,11,9,9,9,11,9,11,9,9,9,9,9,13,11,15,11,11,9,13,17,11,11,15,13,11,11,11,13,11,11,15,9,9,9,9,13,25,11,11,15,21
965,139,65,125,113,15,71,21,9,11,15,9,11,13,9,9,9,9,11,11,9,9,11,9,11,13,9,13,9,11,11,11,9,11,13,9,9,11,9,9,9,9,13,15,11,11,9,13,19,9
671,93,99,243,73,23,9,13,9,9,11,11,9,9,9,9,9,11,11,13,9,9,11,11,9,9,13,11,9,11,9,15,9,17,13,9,13,11,13,11,11,17,11,9,9,9,13,17,11,9
107,165,245,57,13,9,117,11,9,11,9,9,9,9,9,9,9,9,11,11,11,11,11,9,11,11,9,11,9,9,15,17,9,9,9,13,9,9,11,15,9,9,11,11,9,11,11,13,11,21
41,367,27,13,327,11,17,11,9,13,9,9,9,9,9,11,9,9,9,9,11,11,15,11,11,9,11,9,13,11,11,11,9,13,13,9,13,11,11,11,25,9,11,11,15,11,17,11,13,9
39,451,229,53,45,37,25,27,17,9,11,9,9,9,9,9,9,9,11,11,17,11,11,11,17,9,11,11,9,11,11,9,15,9,9,11,9,13,9,15,13,13,9,11,15,9,9,9,9,13
283,411,115,21,75,103,45,47,11,9,9,9,9,9,9,9,9,9,9,9,11,9,9,11,9,9,9,13,11,9,11,9,11,15,9,15,9,15,9,11,9,13,9,11,9,9,13,11,11,11
411,181,85,115,31,107,23,31,9,15,9,9,9,9,9,9,9,11,9,9,9,11,9,9,9,11,11,11,9,11,9,13,9,9,13,9,15,9,9,9,9,9,9,9,13,11,11,11,9,13
39,19,407,89,99,253,19,11,43,11,9,9,11,9,9,9,11,9,11,9,11,11,11,9,11,9,9,11,11,9,13,15,15,11,9,9,15,11,11,11,11,9,9,13,17,13,11,9,11,9
617,91,57,141,107,29,27,15,15,9,9,9,9,9,9,9,9,9,11,9,11,11,11,9,9,11,11,9,11,11,11,11,9,9,13,11,9,11,9,11,11,13,9,9,11,9,9,9,11,11
517,75,447,71,285,81,11,9,9,11,9,9,9,9,9,9,9,9,9,9,11,11,13,9,9,11,9,13,9,9,9,11,13,9,13,15,11,15,13,13,13,15,9,9,13,13,9,15,17,9
167,17,371,97,11,15,19,19,9,9,9,9,9,9,9,9,9,9,9,9,13,9,11,9,13,9,9,11,11,9,9,9,9,9,15,11,13,11,11,9,9,9,11,9,11,23,9,17,9,13
403,33,233,353,13,13,15,11,21,17,13,9,9,9,11,9,9,9,11,13,9,11,13,9,9,17,13,9,15,21,13,11,13,9,15,9,11,13,13,11,11,11,11,9,13,11,13,13,19,9
49,103,9,65,237,43,35,11,17,15,9,9,9,9,9,9,9,11,11,15,9,9,11,11,11,9,17,9,9,9,9,9,13,9,11,15,11,15,9,11,9,11,11,13,11,11,11,11,19,11
645,111,57,151,83,9,169,21,9,9,9,9,9,9,9,11,9,11,9,9,11,9,9,11,13,13,15,9,15,9,11,11,9,9,13,11,11,15,11,17,11,9,11,17,9,13,13,21,25,9
