383.0,227.0,105.0,111.0,41.0,65.0,11.0,11.0
93.0,61.0,65.0,83.0,23.0,35.0,11.0,19.0
235.0,73.0,31.0,115.0,23.0,19.0,13.0,11.0
213.0,141.0,69.0,137.0,119.0,19.0,11.0,9.0
97.0,153.0,111.0,29.0,149.0,9.0,31.0,9.0
53.0,99.0,395.0,45.0,145.0,151.0,15.0,17.0
23.0,231.0,61.0,49.0,91.0,11.0,37.0,9.0
141.0,117.0,65.0,9.0,107.0,23.0,65.0,27.0
51.0,127.0,329.0,73.0,21.0,101.0,25.0,69.0
247.0,35.0,61.0,147.0,9.0,15.0,49.0,41.0
57.0,285.0,271.0,83.0,201.0,41.0,9.0,9.0
559.0,557.0,85.0,241.0,235.0,53.0,35.0,33.0
355.0,115.0,541.0,53.0,31.0,11.0,17.0,15.0
451.0,185.0,17.0,105.0,41.0,31.0,103.0,15.0
291.0,217.0,407.0,147.0,11.0,51.0,19.0,51.0
25.0,113.0,25.0,25.0,83.0,45.0,9.0,17.0
45.0,21.0,71.0,31.0,77.0,19.0,19.0,13.0
319.0,317.0,63.0,143.0,15.0,21.0,11.0,9.0
515.0,53.0,141.0,15.0,29.0,21.0,11.0,15.0
311.0,47.0,131.0,13.0,75.0,77.0,19.0,11.0
463.0,427.0,141.0,203.0,247.0,49.0,85.0,9.0
835.0,193.0,39.0,183.0,77.0,23.0,77.0,23.0
473.0,29.0,31.0,137.0,13.0,73.0,9.0,9.0
871.0,219.0,177.0,63.0,37.0,65.0,99.0,11.0
37.0,91.0,49.0,31.0,65.0,13.0,23.0,31.0
11.0,341.0,15.0,39.0,21.0,65.0,71.0,11.0
83.0,17.0,235.0,273.0,89.0,53.0,85.0,9.0
695.0,243.0,111.0,51.0,151.0,37.0,67.0,63.0
271.0,535.0,59.0,87.0,15.0,39.0,13.0,13.0
37.0,47.0,891.0,37.0,75.0,171.0,19.0,9.0
261.0,873.0,55.0,25.0,29.0,23.0,71.0,23.0
35.0,437.0,177.0,69.0,37.0,9.0,9.0,9.0
47.0,33.0,143.0,129.0,85.0,15.0,31.0,11.0
77.0,445.0,339.0,165.0,21.0,91.0,41.0,23.0
151.0,37.0,223.0,81.0,181.0,75.0,61.0,33.0
301.0,109.0,27.0,281.0,9.0,35.0,115.0,17.0
545.0,181.0,323.0,117.0,163.0,47.0,49.0,11.0
49.0,363.0,55.0,39.0,17.0,95.0,117.0,19.0
173.0,25.0,81.0,47.0,13.0,53.0,11.0,17.0
801.0,23.0,27.0,307.0,483.0,53.0,43.0,17.0
353.0,19.0,123.0,11.0,9.0,27.0,53.0,15.0
287.0,75.0,47.0,121.0,13.0,25.0,77.0,49.0
593.0,225.0,351.0,19.0,143.0,19.0,33.0,9.0
353.0,131.0,67.0,75.0,49.0,15.0,19.0,29.0
169.0,81.0,95.0,127.0,115.0,11.0,73.0,95.0
37.0,339.0,165.0,107.0,73.0,29.0,35.0,9.0
145.0,23.0,249.0,21.0,31.0,47.0,31.0,25.0
277.0,463.0,27.0,213.0,143.0,173.0,9.0,23.0
33.0,239.0,171.0,13.0,91.0,21.0,11.0,9.0
473.0,217.0,171.0,19.0,97.0,153.0,19.0,47.0
37.0,127.0,395.0,17.0,71.0,55.0,11.0,17.0
31.0,121.0,23.0,465.0,65.0,19.0,11.0,35.0
77.0,347.0,71.0,97.0,281.0,73.0,13.0,21.0
109.0,369.0,15.0,65.0,61.0,99.0,17.0,19.0
19.0,95.0,409.0,265.0,15.0,11.0,9.0,9.0
19.0,61.0,437.0,121.0,171.0,167.0,21.0,15.0
229.0,469.0,173.0,131.0,27.0,241.0,13.0,25.0
135.0,67.0,35.0,177.0,77.0,43.0,35.0,21.0
43.0,105.0,35.0,97.0,79.0,17.0,13.0,23.0
