879,87,57,73,19,55,9,9,25,13,9,9,9,9,9,9,9,9,13,9,9,9,13,11,11,9,9,13,11,9,11,9,11,11,11,9,9,11,11,9,9,11,11,11,9,9,9,11,11,9
75,151,59,21,123,53,13,45,11,9,9,11,9,9,9,9,9,9,13,9,9,11,9,11,11,11,11,11,11,9,9,9,9,11,11,11,9,9,9,11,9,9,9,9,9,11,11,15,9,9
347,359,85,51,23,53,35,21,9,23,13,9,9,11,9,9,9,11,9,9,9,9,9,9,9,9,9,11,9,11,9,11,9,13,11,11,9,9,13,9,11,9,9,9,9,9,9,9,11,15
97,121,49,31,59,15,45,23,13,9,11,9,9,11,9,9,9,13,13,9,9,11,11,11,11,9,9,9,9,9,11,9,13,11,9,11,11,9,11,11,11,9,9,9,9,11,11,11,9,9
253,215,159,25,27,59,31,9,21,9,9,9,9,9,9,9,9,9,9,9,9,11,9,9,9,9,9,11,11,13,11,9,13,11,11,9,11,23,9,11,9,11,9,11,9,11,9,9,9,11
41,257,49,215,51,33,65,39,13,9,9,9,9,9,11,9,9,11,9,11,9,11,13,11,9,9,11,9,9,11,9,9,11,9,11,11,11,9,9,9,9,11,11,11,9,9,11,9,9,11
291,101,47,257,161,13,9,53,15,9,9,9,9,9,9,11,9,9,11,9,9,11,11,9,9,9,11,9,9,9,9,9,11,9,11,9,9,9,9,9,11,11,9,9,11,9,9,11,9,9
95,71,95,199,273,11,33,15,11,11,9,9,9,9,9,9,11,11,9,9,9,9,9,9,9,11,11,11,11,11,9,9,13,9,9,11,9,9,9,11,9,9,9,9,9,11,13,11,9,11
213,121,31,15,13,33,11,13,31,11,9,9,9,9,9,9,15,9,11,15,9,11,11,9,9,9,9,11,11,11,9,11,9,13,9,11,9,13,9,9,9,9,9,11,9,11,9,11,11,9
351,53,245,89,11,97,13,13,19,9,13,9,9,9,9,9,9,11,9,9,9,9,9,11,9,9,11,9,9,9,11,13,11,11,9,11,9,13,11,9,9,9,11,11,11,11,13,11,9,11
19,49,17,27,13,57,97,15,9,9,9,9,9,9,9,9,9,11,9,9,9,9,9,11,9,9,9,11,9,11,9,9,13,11,9,13,9,9,11,11,9,9,9,9,9,11,9,11,9,11
1000,15,105,65,63,197,9,19,13,9,9,9,9,11,9,9,9,9,9,9,11,9,9,11,9,9,9,9,13,11,9,9,9,11,9,9,9,9,9,9,9,9,9,11,9,9,9,9,11,11
