17,217,59,67,177,125,15,17,19,11,13,13,15,9,11,9,9,9,9,11,9,11,9,11,9,9,9,11,9,9,11,9,13,9,9,11,9,9,9,11,9,11,13,9,9,9,9,9,9,9
75,203,19,39,143,83,13,17,15,9,15,9,9,9,11,9,9,9,15,9,11,9,9,9,9,9,13,9,9,9,9,9,9,11,11,9,9,11,9,9,9,9,11,9,9,9,9,9,9,9
25,145,275,289,59,9,255,11,9,15,9,9,11,13,9,9,11,13,9,9,9,9,9,13,9,9,9,9,9,11,9,9,9,9,9,11,11,15,9,9,9,9,9,9,9,9,11,9,9,9
67,81,163,71,27,93,21,23,59,11,9,9,13,9,11,9,15,9,13,9,9,9,9,9,9,9,11,11,11,9,9,9,13,11,9,9,9,11,9,9,11,9,9,9,9,9,9,11,9,9
343,35,209,219,13,33,19,39,23,25,23,17,11,9,9,9,9,9,13,9,9,9,9,9,9,9,11,9,9,9,11,11,11,9,9,11,9,9,11,9,11,9,9,9,9,9,11,11,11,9
55,123,527,33,41,17,21,13,29,15,19,9,11,9,9,13,9,9,9,15,9,11,9,9,9,9,9,9,15,9,11,9,13,9,9,9,9,9,13,9,11,9,9,11,9,9,11,11,11,9
35,77,33,351,63,29,51,91,9,9,9,11,9,9,11,9,9,9,11,13,9,9,11,11,11,9,9,9,11,9,13,11,11,9,9,11,9,9,9,9,11,9,9,9,9,11,11,9,9,9
465,99,245,235,107,13,13,31,25,11,21,11,9,11,9,9,9,9,9,9,9,9,9,9,11,11,11,9,9,9,9,9,15,9,9,9,9,9,9,9,9,9,11,11,9,9,9,11,11,9
587,201,29,43,15,51,21,27,27,11,11,21,9,9,15,9,9,11,9,13,9,9,9,9,9,9,9,11,9,9,9,15,9,11,9,9,9,11,9,9,11,11,13,9,15,9,9,9,9,11
137,57,149,15,79,87,43,23,15,9,9,13,9,9,11,9,9,9,13,9,9,9,9,9,13,9,11,9,11,9,11,9,11,11,9,9,9,9,9,11,9,9,9,9,9,13,11,9,9,13
231,509,165,133,11,45,43,71,11,9,13,9,11,9,9,15,9,9,11,9,11,11,9,9,11,11,9,9,13,15,9,9,9,9,9,9,9,9,9,9,15,9,11,9,9,9,11,11,9,9
255,185,151,59,53,89,17,21,33,11,11,11,9,11,11,11,11,9,9,11,9,9,11,9,11,9,9,9,9,9,13,9,11,11,9,9,9,9,13,9,9,9,9,9,9,9,9,11,9,11
37,65,245,83,27,13,119,15,13,11,9,21,9,9,11,11,11,9,11,11,11,9,9,9,9,9,9,9,9,9,9,9,9,9,11,9,9,9,11,9,9,9,9,9,9,11,9,9,9,11
1000,209,245,141,29,57,27,35,31,15,15,11,11,9,11,11,9,9,9,9,11,9,9,11,9,13,9,13,11,9,9,9,9,9,9,11,13,9,9,9,9,9,11,13,9,11,9,9,13,9
1000,607,167,179,91,19,25,121,11,13,9,11,9,11,9,9,9,11,11,9,9,11,9,9,13,9,17,9,9,11,9,11,11,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
131,15,207,289,35,9,19,21,13,19,11,15,9,11,9,11,9,11,11,9,11,9,9,9,11,9,9,9,9,9,9,21,9,9,11,9,11,9,9,9,9,13,13,9,9,9,9,9,9,13
249,109,251,221,33,61,15,39,23,9,19,13,11,9,9,9,9,9,9,9,9,9,9,11,9,9,13,9,9,9,11,9,9,9,9,9,9,9,9,9,9,9,13,9,9,9,9,9,9,9
337,383,247,105,219,79,9,13,23,13,11,9,11,13,9,11,9,9,9,9,9,11,9,11,11,11,9,9,9,9,9,11,9,9,9,11,9,9,9,9,11,11,9,9,11,9,9,9,11,9
207,415,255,63,127,91,111,55,15,29,9,15,9,9,9,11,9,9,9,13,9,9,9,9,9,9,11,9,9,9,11,15,9,9,9,15,13,9,9,9,9,9,11,11,9,9,9,9,9,9
245,53,377,25,67,17,9,9,15,13,11,9,11,9,9,11,11,9,9,11,9,9,9,11,9,9,9,9,13,9,9,9,11,13,9,11,9,9,11,9,11,9,11,9,15,9,9,9,11,9
177,155,81,243,19,107,9,107,15,15,23,9,13,13,11,11,11,11,11,11,11,11,9,9,9,9,9,11,9,9,9,9,9,11,9,15,9,9,13,13,9,9,9,11,9,9,9,9,9,9
27,23,569,175,99,59,71,19,37,27,13,11,11,9,9,9,9,9,9,9,9,9,9,9,9,9,13,9,9,9,9,9,11,11,9,9,11,9,9,19,9,9,9,9,9,9,11,9,9,11
53,101,317,25,91,45,19,13,13,9,9,11,11,9,9,9,9,9,11,9,13,15,9,9,9,9,11,9,9,11,9,9,9,9,11,9,11,9,9,9,11,9,9,9,11,17,11,9,9,9
469,21,43,137,13,31,13,47,31,21,9,15,11,9,11,9,9,9,9,9,11,13,9,9,9,11,9,11,9,9,9,11,13,11,11,9,11,9,9,9,19,9,9,11,9,11,9,15,9,11
171,249,61,129,117,19,17,33,17,9,9,23,9,13,9,9,11,9,13,9,9,9,9,11,9,11,9,9,9,9,9,9,9,11,9,9,9,9,9,11,9,9,9,9,9,9,9,9,9,9
41,37,129,27,9,47,35,11,11,9,17,11,9,9,9,11,11,9,9,9,9,9,9,9,23,11,9,9,9,9,11,9,9,11,9,9,11,11,9,9,9,9,9,9,11,9,13,11,9,9
47,65,65,141,425,119,13,35,15,21,9,9,9,9,11,15,11,9,9,9,9,11,11,9,9,9,9,9,9,9,9,9,11,9,9,11,9,9,9,9,9,13,11,9,17,9,9,9,9,9
85,335,61,35,15,11,19,23,13,9,11,11,9,9,9,13,11,9,9,11,11,9,9,9,11,11,9,9,9,11,9,11,9,13,9,11,9,9,9,15,9,11,13,9,9,11,17,9,9,11
57,93,187,19,315,9,73,9,11,15,9,9,9,9,13,9,9,9,9,11,11,9,9,9,9,11,9,11,9,11,9,11,9,11,15,9,17,9,11,9,9,13,9,11,13,11,9,9,13,9
165,393,63,79,21,65,37,57,13,19,35,11,11,9,11,11,9,9,9,9,11,13,9,9,11,9,9,9,11,9,9,11,9,9,9,9,11,9,9,13,9,9,9,11,9,9,9,9,9,11
81,203,19,145,9,9,73,15,9,11,15,11,9,9,13,9,11,9,9,13,9,9,9,9,9,9,9,9,11,9,9,9,9,9,11,9,13,9,9,9,11,9,9,9,9,9,9,9,9,9
69,713,63,19,179,37,27,25,15,15,13,9,9,13,11,9,9,11,9,13,9,9,9,9,11,9,11,13,15,9,9,11,11,11,9,9,9,9,9,11,9,9,9,9,9,11,9,11,9,9
