0.0,0.0,0.0,0.0,0.182,0.36,0.337,0.295,0.28,0.368,0.4,0.257,0.368,0.368,0.398,0.433,0.363,0.474,0.438,0.355
0.0,0.0,0.0,0.0,0.258,0.173,0.377,0.358,0.282,0.327,0.337,0.362,0.381,0.464,0.448,0.463,0.378,0.408,0.388,0.322
0.0,0.0,0.0,0.0,0.236,0.276,0.255,0.371,0.203,0.357,0.337,0.33,0.329,0.355,0.354,0.47,0.506,0.418,0.381,0.389
0.0,0.0,0.0,0.0,0.048,0.304,0.18,0.274,0.266,0.452,0.359,0.437,0.338,0.423,0.331,0.418,0.36,0.447,0.41,0.362
0.0,0.0,0.0,0.0,0.256,0.235,0.41,0.251,0.346,0.351,0.336,0.332,0.434,0.3,0.373,0.376,0.419,0.483,0.387,0.476
0.0,0.0,0.0,0.0,0.251,0.293,0.271,0.312,0.339,0.364,0.355,0.321,0.325,0.444,0.32,0.404,0.373,0.38,0.387,0.409
0.0,0.0,0.0,0.0,0.281,0.318,0.315,0.341,0.297,0.37,0.369,0.325,0.372,0.405,0.443,0.403,0.452,0.358,0.383,0.348
0.0,0.0,0.0,0.0,0.229,0.152,0.317,0.282,0.439,0.297,0.317,0.392,0.307,0.348,0.392,0.498,0.389,0.389,0.406,0.417
0.0,0.0,0.0,0.0,0.221,0.242,0.267,0.336,0.311,0.281,0.323,0.375,0.384,0.287,0.424,0.438,0.394,0.48,0.424,0.465
0.0,0.0,0.0,0.0,0.2,0.264,0.273,0.322,0.37,0.393,0.438,0.334,0.392,0.367,0.431,0.357,0.399,0.424,0.424,0.401
0.0,0.0,0.0,0.0,0.284,0.237,0.305,0.174,0.354,0.367,0.342,0.274,0.394,0.39,0.386,0.402,0.38,0.47,0.384,0.342
0.0,0.0,0.0,0.0,0.286,0.183,0.356,0.309,0.32,0.323,0.348,0.267,0.252,0.356,0.387,0.257,0.385,0.338,0.407,0.429
0.0,0.0,0.0,0.0,0.155,0.165,0.347,0.376,0.31,0.295,0.312,0.436,0.367,0.287,0.417,0.36,0.336,0.41,0.234,0.404
0.0,0.0,0.0,0.0,0.272,0.255,0.16,0.324,0.238,0.297,0.456,0.36,0.43,0.307,0.43,0.401,0.299,0.348,0.359,0.318
0.0,0.0,0.0,0.0,0.293,0.284,0.251,0.32,0.306,0.297,0.306,0.362,0.35,0.357,0.279,0.438,0.443,0.429,0.38,0.434
0.0,0.0,0.0,0.0,0.08,0.29,0.322,0.292,0.314,0.373,0.382,0.274,0.354,0.351,0.432,0.419,0.404,0.414,0.37,0.373
0.0,0.0,0.0,0.0,0.124,0.28,0.135,0.377,0.341,0.417,0.4,0.319,0.423,0.379,0.323,0.365,0.388,0.417,0.406,0.326
0.0,0.0,0.0,0.0,0.214,0.215,0.279,0.354,0.373,0.255,0.351,0.433,0.376,0.39,0.436,0.304,0.328,0.366,0.302,0.415
0.0,0.0,0.0,0.0,0.21,0.166,0.271,0.243,0.37,0.284,0.37,0.406,0.456,0.346,0.302,0.341,0.363,0.414,0.431,0.368
0.0,0.0,0.0,0.0,0.309,0.266,0.324,0.302,0.354,0.391,0.42,0.372,0.277,0.4,0.293,0.45,0.368,0.315,0.47,0.417
0.0,0.0,0.0,0.0,0.218,0.252,0.331,0.351,0.335,0.386,0.335,0.314,0.42,0.351,0.394,0.393,0.269,0.417,0.459,0.423
0.0,0.0,0.0,0.0,0.212,0.219,0.239,0.375,0.328,0.24,0.366,0.336,0.362,0.378,0.352,0.381,0.373,0.368,0.343,0.312
